id,name,description,external_url,Background,Background_Item,Body,Clothes,Head,Eyes,Mouth,Nose,Hair,Face_Accessory,Ear,Head_Accessory,Hand_Item,Favorite_Things,Doji,Buddy,Personality
1,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Bybit_Black,None,TypeB,Jacket_Cyber_Orangebelt_Orange,TypeB,Star_Orange,Laugh,TypeB,Asymmetry_TypeA_Orange,None,TypeB,None,None,None,None,None,Geek
2,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Circuit_Black,None,TypeB,Shirt_BybitNFT_White,TypeB,Fire_Orange,Tongue,TypeB,Asymmetry_TypeE_White,None,TypeB,None,BTC,None,None,None,Modest
3,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Circuit_Black,None,TypeB,Tracksuit_BybitNFT_TypeA_White,TypeB,Cute_Orange,Chuckle,TypeB,Asymmetry_TypeD_Black,None,TypeB,None,BTC,None,None,None,Relaxed
4,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Vortex_Neon_Orange,None,TypeB,Tracksuit_BybitNFT_TypeA_White,TypeB,Sleeping_Orange,Chuckle,TypeB,Asymmetry_TypeD_Black,None,TypeB,None,TabletPC_Chart,None,None,None,Bashful
5,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Vortex_Neon_Orange,None,TypeB,Coat_Cyber_Hoodie_Black,TypeB,Crying,SmallSmile,TypeB,Asymmetry_TypeA_White,None,TypeB,None,TabletPC_Chart,None,None,None,Relaxed
6,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Code_Black,None,TypeB,Coat_Cyber_Hoodie_Black,TypeB,Love_Orange,Peco,TypeB,Asymmetry_TypeA_White,VR_Goggles_Cyber_Linegraph,TypeB,None,Lightsword_Orange,None,None,None,Modest
7,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Code_Black,None,TypeB,Coat_Cyber_Hoodie_Orange,TypeB,Love_Orange,Laugh,TypeB,Allback_Black,VR_Goggles_Cyber_Linegraph,TypeB,None,Lightsword_Orange,None,None,None,Hardy
8,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Code_White,None,TypeB,Coat_Cyber_Hoodie_Orange,TypeB,Love_Orange,Smile,TypeB,Allback_Black,VR_Goggles_Cyber_BybitNFT,TypeB,None,Smartphone_White,None,None,Coin_Gold,Serious
9,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Moon_Neon_Orange,None,TypeB,Hoodie_Cyber_Black,TypeB,Doubt,Peco,TypeB,Dango_Orangeline_Black,None,TypeB,None,Pickaxe,Robot_Chart,None,Coin_Gold,Bashful
10,METAKOZO MONSETRS#XXXX,"MetaKozo by MetaKoZoDao(MKD)

MetaKozo × BYBIT NFT Special collaboration NFT.

Holders will receive the right of access to MKD's future projects and physical events.
For more information on MKD and MetaKozo, please visit https://www.metakozo-dao.xyz/",https://metakozo-dao.xyz/,Moon_Neon_Orange,None,TypeB,Hoodie_Cyber_Black,TypeB,Fire_Orange,Peco,TypeB,Dango_Orangeline_Black,None,TypeB,None,BTC,None,None,Chick_Gold,Geek
